"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 00:00","2013","06","01","00:00","","16.8","","7.1","","53","","","","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 01:00","2013","06","01","01:00","","18.9","","4.8","","39","","","","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 02:00","2013","06","01","02:00","","15.6","","7.1","","57","","","","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 03:00","2013","06","01","03:00","","15.0","","8.4","","65","","","","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 04:00","2013","06","01","04:00","","14.0","","8.6","","70","","","","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 05:00","2013","06","01","05:00","","13.6","","8.9","","73","","","","20","","4","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 06:00","2013","06","01","06:00","","13.4","","9.6","","78","","","","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 07:00","2013","06","01","07:00","","13.4","","9.0","","75","","","","11","","4","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 08:00","2013","06","01","08:00","","13.5","","8.3","","71","","","","12","","7","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 09:00","2013","06","01","09:00","","12.8","","9.0","","78","","","","10","","13","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 10:00","2013","06","01","10:00","","12.3","","9.5","","83","","","","11","","15","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 11:00","2013","06","01","11:00","","12.0","","9.4","","84","","","","11","","17","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 12:00","2013","06","01","12:00","","11.9","","9.4","","85","","","","12","","15","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 13:00","2013","06","01","13:00","","11.6","","9.7","","88","","","","12","","13","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 14:00","2013","06","01","14:00","","11.5","","9.7","","89","","","","11","","11","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 15:00","2013","06","01","15:00","","11.4","","9.5","","88","","","","12","","6","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 16:00","2013","06","01","16:00","","11.6","","9.5","","87","","","","9","","6","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 17:00","2013","06","01","17:00","","12.1","","9.4","","84","","","","8","","7","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-06-01 18:00","2013","06","01","18:00","","13.8","","9.6","","76","","","","","","0","","","","","M","","","","","NA"
