"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 00:00","2020","07","01","00:00","","16.1","","11.0","","72","","","","11","","20","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 01:00","2020","07","01","01:00","","16.4","","11.5","","73","","","","12","","22","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 02:00","2020","07","01","02:00","","16.1","","12.0","","77","","","","13","","23","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 03:00","2020","07","01","03:00","","16.0","","11.9","","77","","","","12","","19","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 04:00","2020","07","01","04:00","","16.1","","11.0","","72","","","","9","","21","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 05:00","2020","07","01","05:00","","15.3","","12.0","","81","","","","7","","21","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 06:00","2020","07","01","06:00","","14.7","","11.6","","82","","","","6","","22","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 07:00","2020","07","01","07:00","","14.1","","11.5","","84","","","","6","","20","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 08:00","2020","07","01","08:00","","14.0","","11.6","","86","","","","7","","18","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 09:00","2020","07","01","09:00","","14.0","","11.7","","86","","","","7","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 10:00","2020","07","01","10:00","","13.8","","11.4","","85","","","","7","","15","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 11:00","2020","07","01","11:00","","13.4","","11.5","","88","","","","4","","9","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 12:00","2020","07","01","12:00","","13.6","","11.2","","86","","","","6","","8","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 13:00","2020","07","01","13:00","","13.2","","10.9","","86","","","","6","","11","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 14:00","2020","07","01","14:00","","13.4","","11.0","","86","","","","","","0","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 15:00","2020","07","01","15:00","","14.7","","10.5","","76","","","","30","","17","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 16:00","2020","07","01","16:00","","14.1","","11.3","","83","","","","17","","7","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 17:00","2020","07","01","17:00","","14.1","","11.3","","83","","","","19","","11","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 18:00","2020","07","01","18:00","","14.2","","11.3","","82","","","","20","","14","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 19:00","2020","07","01","19:00","","14.4","","11.3","","82","","","","18","","17","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 20:00","2020","07","01","20:00","","14.6","","10.5","","76","","","","18","","23","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 21:00","2020","07","01","21:00","","14.3","","11.1","","81","","","","16","","24","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 22:00","2020","07","01","22:00","","14.0","","11.5","","85","","","","15","","26","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-01 23:00","2020","07","01","23:00","","14.0","","11.5","","85","","","","14","","26","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 00:00","2020","07","02","00:00","","13.9","","11.9","","88","","","","13","","29","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 01:00","2020","07","02","01:00","","14.3","","11.7","","85","","","","14","","29","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 02:00","2020","07","02","02:00","","14.3","","12.0","","86","","","","13","","26","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 03:00","2020","07","02","03:00","","14.7","","12.1","","85","","","","13","","19","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 04:00","2020","07","02","04:00","","14.7","","12.4","","86","","","","14","","11","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 05:00","2020","07","02","05:00","","14.8","","11.9","","83","","","","19","","7","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 06:00","2020","07","02","06:00","","14.4","","12.8","","90","","","","23","","12","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 07:00","2020","07","02","07:00","","14.4","","12.4","","88","","","","24","","10","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 08:00","2020","07","02","08:00","","14.7","","11.5","","81","","","","21","","21","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 09:00","2020","07","02","09:00","","14.9","","11.0","","77","","","","22","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 10:00","2020","07","02","10:00","","14.2","","11.3","","83","","","","24","","5","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 11:00","2020","07","02","11:00","","13.8","","11.3","","85","","","","19","","8","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 12:00","2020","07","02","12:00","","14.1","","10.5","","79","","","","22","","12","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 13:00","2020","07","02","13:00","","13.6","","10.9","","84","","","","31","","3","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 14:00","2020","07","02","14:00","","13.9","","10.4","","80","","","","15","","8","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 15:00","2020","07","02","15:00","","14.1","","10.0","","76","","","","15","","6","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 16:00","2020","07","02","16:00","","14.0","","10.1","","78","","","","18","","15","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 17:00","2020","07","02","17:00","","14.6","","9.0","","69","","","","17","","21","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 18:00","2020","07","02","18:00","","15.6","","9.3","","66","","","","15","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 19:00","2020","07","02","19:00","","16.1","","8.5","","61","","","","15","","20","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 20:00","2020","07","02","20:00","","15.6","","7.5","","59","","","","18","","23","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 21:00","2020","07","02","21:00","","15.4","","9.3","","67","","","","16","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-07-02 22:00","2020","07","02","22:00","","14.8","","10.3","","75","","","","14","","40","","","","","","","","","","NA"
