"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 00:00","2013","10","01","00:00","","12.3","","8.7","","79","","","","18","","28","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 01:00","2013","10","01","01:00","","11.7","","8.9","","83","","","","18","","33","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 02:00","2013","10","01","02:00","","11.4","","8.7","","83","","","","18","","30","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 03:00","2013","10","01","03:00","","11.3","","7.7","","78","","","","20","","32","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 04:00","2013","10","01","04:00","","10.9","","8.2","","83","","","","19","","32","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 05:00","2013","10","01","05:00","","11.0","","8.0","","82","","","","18","","32","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 06:00","2013","10","01","06:00","","10.8","","7.5","","80","","","","20","","28","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 07:00","2013","10","01","07:00","","10.8","","7.4","","79","","","","19","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 08:00","2013","10","01","08:00","","10.8","","7.3","","79","","","","20","","33","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 09:00","2013","10","01","09:00","","11.0","","7.5","","79","","","","19","","32","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 10:00","2013","10","01","10:00","","10.6","","6.8","","77","","","","19","","37","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 11:00","2013","10","01","11:00","","10.4","","7.4","","82","","","","19","","39","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 12:00","2013","10","01","12:00","","10.3","","7.6","","83","","","","17","","26","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 13:00","2013","10","01","13:00","","10.1","","6.5","","78","","","","17","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 14:00","2013","10","01","14:00","","10.3","","7.3","","82","","","","19","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 15:00","2013","10","01","15:00","","9.4","","6.7","","83","","","","22","","26","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 16:00","2013","10","01","16:00","","9.6","","5.8","","77","","","","19","","32","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 17:00","2013","10","01","17:00","","9.8","","6.7","","81","","","","16","","24","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 18:00","2013","10","01","18:00","","10.6","","8.0","","84","","","","16","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 19:00","2013","10","01","19:00","","10.6","","7.7","","82","","","","15","","19","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 20:00","2013","10","01","20:00","","11.0","","7.5","","79","","","","15","","20","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 21:00","2013","10","01","21:00","","11.2","","7.3","","77","","","","15","","24","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 22:00","2013","10","01","22:00","","11.5","","7.4","","76","","","","15","","24","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-01 23:00","2013","10","01","23:00","","11.8","","7.9","","77","","","","15","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 00:00","2013","10","02","00:00","","10.5","","6.1","","74","","","","13","","6","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 01:00","2013","10","02","01:00","","10.0","","8.2","","89","","","","10","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 02:00","2013","10","02","02:00","","9.6","","8.2","","91","","","","11","","19","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 03:00","2013","10","02","03:00","","9.5","","8.2","","92","","","","8","","26","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 04:00","2013","10","02","04:00","","9.3","","7.6","","89","","","","9","","28","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 05:00","2013","10","02","05:00","","9.3","","7.2","","87","","","","9","","30","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 06:00","2013","10","02","06:00","","8.9","","6.4","","84","","","","9","","30","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 07:00","2013","10","02","07:00","","8.9","","6.7","","86","","","","10","","30","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 08:00","2013","10","02","08:00","","9.1","","7.3","","88","","","","10","","24","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 09:00","2013","10","02","09:00","","9.1","","7.8","","92","","","","11","","30","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 10:00","2013","10","02","10:00","","8.7","","7.7","","93","","","","11","","24","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 11:00","2013","10","02","11:00","","8.8","","7.9","","94","","","","11","","26","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 12:00","2013","10","02","12:00","","9.2","","8.5","","95","","","","12","","24","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 13:00","2013","10","02","13:00","","10.1","","9.4","","95","","","","16","","15","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 14:00","2013","10","02","14:00","","10.4","","8.3","","87","","","","16","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 15:00","2013","10","02","15:00","","9.3","","8.6","","95","","","","11","","26","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 16:00","2013","10","02","16:00","","8.8","","7.9","","94","","","","11","","26","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 17:00","2013","10","02","17:00","","8.8","","7.7","","93","","","","11","","28","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2013-10-02 18:00","2013","10","02","18:00","","8.7","","7.2","","90","","","","11","","26","","","","","M","","","","","NA"
