"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 00:00","2016","06","01","00:00","","17.5","","11.6","","68","","","M","2","","5","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 01:00","2016","06","01","01:00","","17.7","","11.8","","69","","","M","28","","4","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 02:00","2016","06","01","02:00","","17.3","","12.9","","76","","","M","27","","6","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 03:00","2016","06","01","03:00","","17.5","","13.1","","75","","","M","29","","9","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 04:00","2016","06","01","04:00","","17.8","","12.8","","73","","","M","34","","10","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 05:00","2016","06","01","05:00","","17.9","","13.3","","74","","","M","36","","5","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 06:00","2016","06","01","06:00","","16.6","","13.5","","82","","","M","16","","3","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 07:00","2016","06","01","07:00","","16.1","","12.1","","77","","","M","21","","10","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 08:00","2016","06","01","08:00","","16.3","","11.7","","74","","","M","22","","4","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 09:00","2016","06","01","09:00","","16.8","","13.0","","79","","","M","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 10:00","2016","06","01","10:00","","15.3","","12.6","","84","","","M","15","","10","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 11:00","2016","06","01","11:00","","14.7","","12.1","","84","","","M","17","","8","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 12:00","2016","06","01","12:00","","14.4","","11.6","","83","","","M","13","","16","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 13:00","2016","06","01","13:00","","13.9","","10.8","","82","","","M","13","","18","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 14:00","2016","06","01","14:00","","13.8","","11.1","","84","","","M","12","","19","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 15:00","2016","06","01","15:00","","14.0","","11.2","","83","","","M","12","","17","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2016-06-01 16:00","2016","06","01","16:00","","14.7","","11.6","","82","","","M","13","","14","","","","","M","","","","","NA"
