"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 00:00","2018","12","01","00:00","","6.7","","6.2","","97","","","M","9","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 01:00","2018","12","01","01:00","","6.6","","6.0","","96","","","M","7","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 02:00","2018","12","01","02:00","","6.3","","5.8","","97","","","M","7","","23","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 03:00","2018","12","01","03:00","","6.4","","6.1","","98","","","M","7","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 04:00","2018","12","01","04:00","","6.3","","6.0","","98","","","M","7","","18","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 05:00","2018","12","01","05:00","","6.3","","5.9","","97","","","M","8","","18","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 06:00","2018","12","01","06:00","","6.3","","5.9","","97","","","M","7","","19","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 07:00","2018","12","01","07:00","","6.8","","5.9","","94","","","M","7","","14","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 08:00","2018","12","01","08:00","","6.4","","5.8","","96","","","M","11","","20","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 09:00","2018","12","01","09:00","","6.4","","5.8","","96","","","M","9","","17","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 10:00","2018","12","01","10:00","","6.2","","6.1","","99","","","M","8","","15","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 11:00","2018","12","01","11:00","","6.5","","6.4","","99","","","M","4","","14","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 12:00","2018","12","01","12:00","","6.6","","5.9","","95","","","M","3","","13","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 13:00","2018","12","01","13:00","","6.6","","6.1","","97","","","M","3","","9","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 14:00","2018","12","01","14:00","","6.7","","6.1","","96","","","M","1","","7","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 15:00","2018","12","01","15:00","","6.9","","6.0","","94","","","M","33","","12","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 16:00","2018","12","01","16:00","","7.0","","5.8","","92","","","M","32","","18","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 17:00","2018","12","01","17:00","","7.2","","5.7","","91","","","M","32","","15","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 18:00","2018","12","01","18:00","","7.1","","5.9","","93","","","M","31","","27","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 19:00","2018","12","01","19:00","","7.3","","6.5","","95","","","M","31","","20","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 20:00","2018","12","01","20:00","","7.2","","6.3","","94","","","M","31","","15","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 21:00","2018","12","01","21:00","","7.4","","5.5","","88","","","M","31","","28","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 22:00","2018","12","01","22:00","","7.3","","5.1","","86","","","M","31","","31","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-01 23:00","2018","12","01","23:00","","7.3","","5.6","","90","","","M","30","","33","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 00:00","2018","12","02","00:00","","7.2","","5.8","","91","","","M","30","","33","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 01:00","2018","12","02","01:00","","7.0","","5.6","","90","","","M","31","","32","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 02:00","2018","12","02","02:00","","7.0","","5.8","","92","","","M","31","","30","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 03:00","2018","12","02","03:00","","7.3","","5.4","","88","","","M","31","","27","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 04:00","2018","12","02","04:00","","7.2","","5.8","","91","","","M","33","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 05:00","2018","12","02","05:00","","7.0","","5.7","","91","","","M","35","","18","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 06:00","2018","12","02","06:00","","6.8","","5.6","","92","","","M","2","","9","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 07:00","2018","12","02","07:00","","6.9","","5.3","","90","","","M","34","","11","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 08:00","2018","12","02","08:00","","6.8","","5.2","","90","","","M","34","","10","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 09:00","2018","12","02","09:00","","6.1","","5.5","","96","","","M","3","","6","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 10:00","2018","12","02","10:00","","6.1","","5.1","","93","","","M","4","","8","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 11:00","2018","12","02","11:00","","5.7","","5.0","","95","","","M","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 12:00","2018","12","02","12:00","","5.2","","4.5","","95","","","M","10","","6","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 13:00","2018","12","02","13:00","","5.1","","4.5","","96","","","M","3","","7","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 14:00","2018","12","02","14:00","","4.4","","4.0","","98","","","M","7","","10","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 15:00","2018","12","02","15:00","","4.3","","3.7","","96","","","M","10","","8","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 16:00","2018","12","02","16:00","","4.6","","3.8","","95","","","M","8","","8","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 17:00","2018","12","02","17:00","","5.2","","4.0","","92","","","M","9","","7","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 18:00","2018","12","02","18:00","","4.9","","3.5","","91","","","M","3","","6","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 19:00","2018","12","02","19:00","","5.1","","3.6","","90","","","M","8","","4","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 20:00","2018","12","02","20:00","","5.4","","3.4","","87","","","M","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 21:00","2018","12","02","21:00","","6.0","","3.3","","83","","","M","31","","4","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 22:00","2018","12","02","22:00","","6.6","","4.7","","88","","","M","31","","14","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-02 23:00","2018","12","02","23:00","","6.6","","4.7","","88","","","M","31","","14","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 00:00","2018","12","03","00:00","","6.7","","4.6","","86","","","M","32","","10","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 01:00","2018","12","03","01:00","","6.6","","4.5","","87","","","M","32","","9","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 02:00","2018","12","03","02:00","","6.6","","4.7","","88","","","M","33","","8","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 03:00","2018","12","03","03:00","","6.7","","4.2","","84","","","M","35","","11","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 04:00","2018","12","03","04:00","","5.7","","4.1","","90","","","M","6","","12","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 05:00","2018","12","03","05:00","","5.0","","3.8","","92","","","M","9","","17","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 06:00","2018","12","03","06:00","","4.7","","4.0","","96","","","M","9","","12","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 07:00","2018","12","03","07:00","","4.2","","3.2","","94","","","M","9","","14","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 08:00","2018","12","03","08:00","","4.4","","2.9","","90","","","M","7","","10","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 09:00","2018","12","03","09:00","","4.8","","2.9","","87","","","M","36","","3","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 10:00","2018","12","03","10:00","","4.4","","2.9","","90","","","M","10","","5","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 11:00","2018","12","03","11:00","","4.3","","2.9","","91","","","M","11","","4","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 12:00","2018","12","03","12:00","","4.0","","2.7","","91","","","M","10","","8","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 13:00","2018","12","03","13:00","","3.8","","2.6","","92","","","M","9","","5","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 14:00","2018","12","03","14:00","","3.9","","2.1","","88","","","M","4","","9","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 15:00","2018","12","03","15:00","","4.1","","1.9","","86","","","M","3","","8","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 16:00","2018","12","03","16:00","","4.4","","1.4","","81","","","M","6","","7","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 17:00","2018","12","03","17:00","","4.2","","1.8","","85","","","M","8","","5","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 18:00","2018","12","03","18:00","","4.4","","1.6","","82","","","M","4","","6","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 19:00","2018","12","03","19:00","","5.1","","0.8","","74","","","M","","","0","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2018-12-03 20:00","2018","12","03","20:00","","4.7","","1.2","","78","","","M","24","","4","","","","","M","","","","","NA"
