"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 00:00","2015","09","01","00:00","","15.7","","13.3","","86","","","M","17","","46","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 01:00","2015","09","01","01:00","","14.8","","13.4","","92","","","M","17","","39","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 02:00","2015","09","01","02:00","","16.1","","12.8","","81","","","M","17","","40","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 03:00","2015","09","01","03:00","","16.4","","12.4","","77","","","M","18","","40","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 04:00","2015","09","01","04:00","","16.1","","12.4","","79","","","M","19","","40","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 05:00","2015","09","01","05:00","","16.3","","12.6","","79","","","M","19","","48","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 06:00","2015","09","01","06:00","","15.6","","12.9","","84","","","M","19","","46","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 07:00","2015","09","01","07:00","","15.6","","13.1","","85","","","M","18","","32","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 08:00","2015","09","01","08:00","","15.0","","13.5","","91","","","M","19","","42","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 09:00","2015","09","01","09:00","","14.7","","13.7","","94","","","M","19","","37","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 10:00","2015","09","01","10:00","","14.8","","13.8","","94","","","M","19","","36","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2015-09-01 11:00","2015","09","01","11:00","","14.6","","13.8","","95","","","M","19","","27","","","","","M","","","","","NA"
