"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 00:00","2022","06","01","00:00","","14.4","","10.7","","78","","","","31","","18","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 01:00","2022","06","01","01:00","","14.6","","11.7","","82","","","","31","","17","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 02:00","2022","06","01","02:00","","14.5","","12.4","","88","","","","31","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 03:00","2022","06","01","03:00","","14.4","","12.0","","85","","","","30","","18","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 04:00","2022","06","01","04:00","","14.8","","11.7","","81","","","","32","","19","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 05:00","2022","06","01","05:00","","14.7","","11.9","","83","","","","33","","18","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 06:00","2022","06","01","06:00","","14.4","","12.4","","88","","","","31","","19","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 07:00","2022","06","01","07:00","","14.2","","12.7","","91","","","","32","","19","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 08:00","2022","06","01","08:00","","14.4","","12.7","","89","","","","33","","17","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 09:00","2022","06","01","09:00","","14.5","","12.3","","87","","","","32","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 10:00","2022","06","01","10:00","","14.2","","12.7","","91","","","","31","","13","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 11:00","2022","06","01","11:00","","14.1","","12.8","","92","","","","32","","14","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 12:00","2022","06","01","12:00","","13.9","","12.9","","94","","","","32","","13","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 13:00","2022","06","01","13:00","","14.0","","12.6","","91","","","","31","","13","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 14:00","2022","06","01","14:00","","13.9","","12.6","","92","","","","32","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 15:00","2022","06","01","15:00","","13.9","","12.9","","93","","","","32","","13","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 16:00","2022","06","01","16:00","","13.8","","12.9","","94","","","","32","","12","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 17:00","2022","06","01","17:00","","14.0","","13.0","","94","","","","32","","14","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 18:00","2022","06","01","18:00","","14.0","","12.9","","93","","","","31","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 19:00","2022","06","01","19:00","","14.2","","12.9","","92","","","","31","","17","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 20:00","2022","06","01","20:00","","14.7","","12.8","","88","","","","31","","18","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 21:00","2022","06","01","21:00","","14.9","","12.9","","88","","","","31","","17","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 22:00","2022","06","01","22:00","","15.1","","12.7","","86","","","","32","","18","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-01 23:00","2022","06","01","23:00","","15.3","","13.3","","88","","","","31","","20","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 00:00","2022","06","02","00:00","","15.3","","13.0","","86","","","","29","","19","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 01:00","2022","06","02","01:00","","15.4","","13.0","","86","","","","31","","15","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 02:00","2022","06","02","02:00","","15.2","","13.0","","87","","","","28","","6","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 03:00","2022","06","02","03:00","","14.7","","12.6","","87","","","","27","","4","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 04:00","2022","06","02","04:00","","15.7","","11.6","","77","","","","2","","12","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 05:00","2022","06","02","05:00","","15.2","","12.4","","84","","","","6","","8","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 06:00","2022","06","02","06:00","","14.5","","12.2","","86","","","","","","0","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 07:00","2022","06","02","07:00","","14.2","","12.2","","88","","","","21","","8","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 08:00","2022","06","02","08:00","","14.1","","12.2","","88","","","","24","","10","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 09:00","2022","06","02","09:00","","14.4","","12.1","","86","","","","28","","7","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 10:00","2022","06","02","10:00","","14.5","","12.1","","86","","","","34","","5","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 11:00","2022","06","02","11:00","","14.5","","11.9","","84","","","","36","","8","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 12:00","2022","06","02","12:00","","14.7","","12.1","","85","","","","1","","12","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 13:00","2022","06","02","13:00","","14.8","","12.4","","86","","","","36","","12","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 14:00","2022","06","02","14:00","","14.4","","11.8","","84","","","","3","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 15:00","2022","06","02","15:00","","14.7","","10.9","","78","","","","1","","23","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 16:00","2022","06","02","16:00","","15.0","","11.3","","78","","","","36","","17","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 17:00","2022","06","02","17:00","","15.1","","12.0","","81","","","","35","","7","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 18:00","2022","06","02","18:00","","15.3","","12.6","","84","","","","34","","8","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 19:00","2022","06","02","19:00","","15.3","","12.9","","85","","","","30","","16","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 20:00","2022","06","02","20:00","","15.6","","13.3","","86","","","","31","","17","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 21:00","2022","06","02","21:00","","15.9","","13.5","","86","","","","32","","17","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 22:00","2022","06","02","22:00","","16.2","","13.6","","85","","","","29","","14","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-02 23:00","2022","06","02","23:00","","16.5","","13.2","","81","","","","30","","14","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 00:00","2022","06","03","00:00","","16.6","","13.4","","81","","","","31","","14","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 01:00","2022","06","03","01:00","","16.8","","13.4","","80","","","","34","","20","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 02:00","2022","06","03","02:00","","15.6","","13.5","","87","","","","27","","10","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 03:00","2022","06","03","03:00","","16.0","","12.5","","80","","","","29","","15","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 04:00","2022","06","03","04:00","","15.7","","13.7","","88","","","","6","","10","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 05:00","2022","06","03","05:00","","16.5","","12.9","","79","","","","8","","8","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 06:00","2022","06","03","06:00","","14.9","","12.8","","87","","","","10","","8","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 07:00","2022","06","03","07:00","","15.7","","13.0","","84","","","","11","","10","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 08:00","2022","06","03","08:00","","15.5","","13.2","","86","","","","9","","5","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 09:00","2022","06","03","09:00","","15.5","","13.4","","87","","","","31","","4","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 10:00","2022","06","03","10:00","","15.7","","12.9","","83","","","","","","0","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2022-06-03 11:00","2022","06","03","11:00","","14.8","","13.0","","89","","","","5","","3","","","","","","","","","","NA"
