"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 00:00","2014","09","01","00:00","","17.5","","12.2","","71","","","","16","","20","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 01:00","2014","09","01","01:00","","17.8","","12.6","","72","","","","17","","21","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 02:00","2014","09","01","02:00","","17.7","","13.0","","74","","","","16","","18","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 03:00","2014","09","01","03:00","","17.2","","13.5","","79","","","","15","","12","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 04:00","2014","09","01","04:00","","17.5","","14.3","","82","","","","12","","13","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 05:00","2014","09","01","05:00","","17.3","","13.9","","80","","","","11","","14","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 06:00","2014","09","01","06:00","","16.7","","14.3","","86","","","","12","","19","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 07:00","2014","09","01","07:00","","16.5","","14.2","","86","","","","12","","17","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 08:00","2014","09","01","08:00","","16.3","","14.3","","88","","","","11","","18","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 09:00","2014","09","01","09:00","","16.0","","14.3","","90","","","","10","","19","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 10:00","2014","09","01","10:00","","15.8","","14.3","","91","","","","11","","19","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 11:00","2014","09","01","11:00","","15.5","","14.2","","92","","","","11","","16","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 12:00","2014","09","01","12:00","","15.4","","14.1","","92","","","","10","","18","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 13:00","2014","09","01","13:00","","15.0","","14.0","","94","","","","10","","19","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 14:00","2014","09","01","14:00","","14.6","","14.0","","96","","","","11","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 15:00","2014","09","01","15:00","","15.2","","13.8","","92","","","","14","","21","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 16:00","2014","09","01","16:00","","15.6","","13.5","","87","","","","15","","17","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 17:00","2014","09","01","17:00","","15.6","","13.7","","88","","","","15","","23","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 18:00","2014","09","01","18:00","","16.0","","14.0","","88","","","","15","","26","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 19:00","2014","09","01","19:00","","16.6","","13.1","","80","","","","15","","24","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 20:00","2014","09","01","20:00","","17.2","","13.4","","79","","","","15","","22","","","","","M","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2014-09-01 21:00","2014","09","01","21:00","","17.7","","12.5","","72","","","","15","","23","","","","","M","","","","","NA"
