"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 00:00","2020","12","01","00:00","","9.3","","2.7","","63","","","","31","","34","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 01:00","2020","12","01","01:00","","9.1","","2.9","","65","","","","31","","31","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 02:00","2020","12","01","02:00","","9.0","","2.6","","64","","","","29","","29","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 03:00","2020","12","01","03:00","","8.8","","2.7","","65","","","","29","","29","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 04:00","2020","12","01","04:00","","8.5","","3.5","","71","","","","29","","29","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 05:00","2020","12","01","05:00","","8.5","","1.6","","62","","","","29","","34","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 06:00","2020","12","01","06:00","","8.2","","2.4","","67","","","","29","","32","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 07:00","2020","12","01","07:00","","7.9","","2.7","","70","","","","29","","24","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 08:00","2020","12","01","08:00","","7.4","","2.7","","72","","","","29","","23","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 09:00","2020","12","01","09:00","","5.5","","3.1","","84","","","","1","","15","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 10:00","2020","12","01","10:00","","5.3","","3.1","","86","","","","2","","13","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 11:00","2020","12","01","11:00","","5.4","","2.7","","83","","","","4","","13","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 12:00","2020","12","01","12:00","","5.6","","2.3","","79","","","","4","","18","","","","","","","","","","NA"
"-123.30","49.11","SANDHEADS CS","1107010","2020-12-01 13:00","2020","12","01","13:00","","5.0","","2.3","","82","","","","7","","12","","","","","","","","","","NA"
