PC_1,PC_2,PC_3,PC_4,PC_5,PC_6,Date,Year,DOY
-41.086266,25.006565,15.3820505,-35.28119,12.297143,2.8042006,2010-06-30,2010,181
-65.566414,-4.567865,4.373015,-43.087444,6.9660683,3.7078276,2010-07-01,2010,182
-67.42733,-26.412247,-1.627891,-32.963715,5.6977925,-3.5382586,2010-07-02,2010,183
-48.4555,-73.22264,6.0952125,-28.256187,10.410616,0.5151983,2010-07-03,2010,184
-42.307777,-80.2265,3.5248463,8.198544,23.30989,-4.073255,2010-07-04,2010,185
9.377928,-87.94919,8.306087,20.551037,13.579856,-10.280404,2010-07-05,2010,186
19.500885,-84.2402,0.94293106,37.724194,23.618748,-17.40339,2010-07-06,2010,187
9.235516,-68.09116,-1.0128366,46.83246,16.395765,-18.825329,2010-07-07,2010,188
-6.83202,-47.821636,-3.8323193,46.16523,4.3038063,-18.386461,2010-07-08,2010,189
8.685131,-29.934555,3.8200347,42.75376,-12.002325,-11.329182,2010-07-09,2010,190
42.99294,-27.465876,11.565054,30.802906,-11.017574,-4.2322063,2010-07-10,2010,191
36.219963,-13.354044,2.034283,27.33483,-20.350872,0.7316571,2010-07-11,2010,192
74.997696,-11.426186,18.693398,6.1585097,-19.9822,7.956119,2010-07-12,2010,193
101.28293,-22.248158,13.434715,-13.700863,6.2245817,5.8743706,2010-07-13,2010,194
66.95334,-17.877295,-9.398153,2.7508185,5.4255056,-8.646397,2010-07-14,2010,195
64.70868,-11.700827,-2.6408,7.6018043,-9.073215,-9.370434,2010-07-15,2010,196
79.12253,-16.361565,8.569005,-8.150018,-4.517928,-7.6286073,2010-07-16,2010,197
64.94914,-18.544527,-5.0234313,-3.8647485,-4.1348805,-11.087827,2010-07-17,2010,198
69.0162,-21.276402,-0.11137137,-6.702596,-2.1151047,-9.396193,2010-07-18,2010,199
52.880157,-17.612144,-8.127875,1.8538257,-8.686095,-14.877679,2010-07-19,2010,200
37.637028,-10.78917,-7.832021,12.286166,-22.218588,-12.108108,2010-07-20,2010,201
26.94554,-6.1146107,0.37305307,6.8208084,-26.189852,-13.868583,2010-07-21,2010,202
69.3838,-12.31213,15.563859,-10.445334,-9.321754,-5.568359,2010-07-22,2010,203
85.097496,-23.495026,5.7550387,-18.067987,9.920477,-2.398825,2010-07-23,2010,204
78.98794,-20.344046,5.07847,-6.1298256,0.36829534,-11.3266735,2010-07-24,2010,205
104.432816,-19.970558,18.356853,-10.375882,5.0491824,-7.3005385,2010-07-25,2010,206
100.197586,-24.170399,9.399144,-7.7629504,10.541992,-9.986514,2010-07-26,2010,207
79.68057,-17.199915,-0.64219886,-2.5099666,1.1794326,-16.83286,2010-07-27,2010,208
79.27523,0.70276016,7.108222,6.7386756,-14.71413,-7.3569965,2010-07-28,2010,209
74.92919,5.896717,9.18094,2.6329405,-27.541353,-4.0026374,2010-07-29,2010,210
70.10703,1.3185005,6.1438904,-4.12742,-21.38879,-7.945491,2010-07-30,2010,211
64.65815,-11.610738,4.071674,-12.287081,-10.638042,-8.098591,2010-07-31,2010,212
55.60898,-9.058191,3.0949547,2.0052705,-7.583174,-9.170814,2010-08-01,2010,213
56.26259,-1.206605,6.058384,16.025438,-11.467302,-7.3177395,2010-08-02,2010,214
40.818604,5.568665,3.1453195,15.987538,-14.008951,-20.441038,2010-08-03,2010,215
22.5562,13.610265,2.4466877,9.388439,-9.017529,-24.794306,2010-08-04,2010,216
10.572097,16.317572,4.6203055,2.8849087,-13.215859,-18.910858,2010-08-05,2010,217
32.42829,28.651207,13.010749,22.181217,-15.042035,-9.708045,2010-08-06,2010,218
66.561905,35.226315,23.983957,28.409487,-8.517283,3.0451157,2010-08-07,2010,219
65.81302,45.069275,24.153475,29.326136,-2.0144067,2.8029165,2010-08-08,2010,220
54.455067,44.829437,33.3421,9.511953,-9.0919895,-9.766672,2010-08-09,2010,221
42.900894,40.34997,38.089413,-10.050294,-3.5063725,-10.003605,2010-08-10,2010,222
28.791079,40.500168,32.91662,-14.086737,-5.813435,-11.664375,2010-08-11,2010,223
30.534327,26.292887,25.891909,-22.961924,-13.452726,-14.396875,2010-08-12,2010,224
38.819084,13.638533,23.378532,-25.177284,-8.621435,-10.866549,2010-08-13,2010,225
56.840225,7.121389,28.909315,-23.42179,-0.020023549,4.529712,2010-08-14,2010,226
40.332367,3.6243212,16.058523,-18.078396,1.1752046,1.6064113,2010-08-15,2010,227
40.940735,2.354198,12.844618,-17.941792,1.4564328,-3.2315178,2010-08-16,2010,228
61.214783,-0.1729188,13.576715,-15.243026,1.3886405,-1.750523,2010-08-17,2010,229
69.272804,-1.3546206,14.728158,-11.288128,-0.63273007,-1.9550185,2010-08-18,2010,230
101.62101,5.194871,19.314266,-7.7986603,-1.0079796,-1.4205964,2010-08-19,2010,231
102.68287,7.732812,14.362099,-10.572323,-2.47533,-11.816539,2010-08-20,2010,232
93.79896,16.102901,17.731737,-4.009982,-8.989537,-17.93705,2010-08-21,2010,233
93.3696,21.381807,23.081102,-5.400067,-16.79141,-18.9876,2010-08-22,2010,234
86.03463,17.680458,20.792961,-26.916126,-7.458228,-30.556145,2010-08-23,2010,235
76.74187,22.314337,12.383896,-19.016445,-3.0083432,-34.73152,2010-08-24,2010,236
63.825447,19.730028,8.94971,-25.893879,-10.024205,-33.617992,2010-08-25,2010,237
78.455666,9.973486,10.411936,-31.405243,-14.718263,-26.426558,2010-08-26,2010,238
97.78052,-5.187734,11.546299,-41.135223,-0.72484523,-12.116394,2010-08-27,2010,239
109.03593,-17.31199,11.729181,-35.059364,8.275122,-12.830822,2010-08-28,2010,240
131.19868,-17.259373,19.930166,-24.651566,10.277538,-7.803223,2010-08-29,2010,241
127.82006,-12.89924,14.953092,-5.880984,12.934174,-8.968294,2010-08-30,2010,242
130.71312,-0.3174304,20.795525,-3.0869453,5.0154753,-8.933043,2010-08-31,2010,243
75.69082,13.024729,-34.319847,-30.78958,22.677307,3.4878523,2011-05-01,2011,121
80.27006,19.839684,-33.37357,-22.651245,27.2768,1.394357,2011-05-02,2011,122
84.38002,26.321749,-28.273584,-24.511477,26.622559,6.2085667,2011-05-03,2011,123
72.98941,5.361935,-32.73028,-45.85431,14.195777,23.189066,2011-05-04,2011,124
59.254215,3.939113,-38.8884,-39.25422,12.226989,10.018026,2011-05-05,2011,125
64.484085,10.278276,-35.11321,-28.667542,13.916696,3.1615374,2011-05-06,2011,126
90.68839,20.880917,-22.85317,-8.5336685,16.58478,3.3381374,2011-05-07,2011,127
62.148247,27.5316,-31.925938,-14.9693775,14.346497,-6.7276087,2011-05-08,2011,128
34.71147,20.318998,-38.820576,-28.052284,4.951769,-8.567099,2011-05-09,2011,129
22.219534,18.537983,-41.3528,-30.99686,7.4346547,-10.464084,2011-05-10,2011,130
62.78226,25.16208,-34.36952,-8.242204,19.193453,-8.126776,2011-05-11,2011,131
75.234634,33.301155,-29.36975,1.2760692,19.882391,-9.571527,2011-05-12,2011,132
81.83554,40.93224,-34.226276,5.0189734,22.570305,-11.666436,2011-05-13,2011,133
42.896942,28.962427,-34.455994,-21.926048,9.611307,-7.103158,2011-05-14,2011,134
16.248882,-7.79109,-35.923363,-40.314793,3.9848907,8.609522,2011-05-15,2011,135
43.598904,2.172348,-27.296146,-22.581366,9.542962,8.497676,2011-05-16,2011,136
42.448128,7.7342143,-39.098366,-11.395875,10.407116,7.653013,2011-05-17,2011,137
33.206863,15.982426,-30.014755,-23.020943,4.6589885,-1.9375832,2011-05-18,2011,138
15.264758,-4.9267416,-35.638687,-34.988792,0.34754264,-7.2462955,2011-05-19,2011,139
-2.662324,-3.167524,-45.232967,-24.039642,0.33915856,-19.090279,2011-05-20,2011,140
-9.494011,13.388282,-49.33279,-15.899493,-2.215205,-26.95749,2011-05-21,2011,141
-27.04405,22.783552,-50.183815,-17.766346,-7.852377,-32.70008,2011-05-22,2011,142
-33.315308,28.009472,-52.288143,-12.301184,-7.8025913,-31.209671,2011-05-23,2011,143
-52.154793,30.003178,-51.91255,-9.501166,-9.560659,-25.401175,2011-05-24,2011,144
-40.738937,29.680428,-55.725178,17.952595,7.840615,-18.557236,2011-05-25,2011,145
-27.376379,35.99862,-33.14235,11.882476,0.78764313,-20.655935,2011-05-26,2011,146
-46.183548,45.136467,-30.58296,24.53204,13.462451,-21.097584,2011-05-27,2011,147
-67.824745,55.261337,-30.680628,22.978592,15.183759,-25.458458,2011-05-28,2011,148
-110.17121,34.450356,-16.681147,-19.767414,6.817642,-9.011092,2011-05-29,2011,149
-118.24189,30.98837,-7.3440576,-28.43853,1.4457803,-0.89416796,2011-05-30,2011,150
-112.43558,42.245285,-7.3784,-10.586128,4.1662354,0.8989328,2011-05-31,2011,151
-101.14336,48.9319,-4.787418,-11.249526,9.124842,0.6632109,2011-06-01,2011,152
-101.28878,60.92938,-2.7954497,-10.144662,10.623868,-7.026717,2011-06-02,2011,153
-96.242355,64.44339,0.23241365,5.131049,10.191554,-1.4630693,2011-06-03,2011,154
-123.01623,50.421223,-0.12799266,-12.044782,-4.374072,6.4350524,2011-06-04,2011,155
-91.66444,1.5197735,13.06353,-28.764835,-15.359519,29.729584,2011-06-05,2011,156
-58.070282,-63.91098,-2.0898652,-11.691972,3.6650124,23.65647,2011-06-06,2011,157
19.751736,-83.305565,-6.4792657,2.8648472,16.719685,21.911583,2011-06-07,2011,158
-6.0491576,-63.453365,-36.083168,26.395962,27.087791,3.013304,2011-06-08,2011,159
-12.156971,-36.97234,-35.50167,49.985275,7.440987,9.765281,2011-06-09,2011,160
-25.384048,-19.39807,-27.310589,45.5078,-21.718735,19.845772,2011-06-10,2011,161
-67.237015,-4.2223525,-27.87262,25.648634,-32.289986,24.662619,2011-06-11,2011,162
-73.15219,18.07582,-15.911256,25.236574,-14.119868,30.594778,2011-06-12,2011,163
-36.307083,31.756842,-6.0023727,46.797184,15.974145,36.068024,2011-06-13,2011,164
-44.7771,39.275143,-8.446055,28.098701,24.019453,23.027555,2011-06-14,2011,165
-31.369213,24.876356,14.78106,9.367348,17.815605,29.499834,2011-06-15,2011,166
-27.338192,-31.921394,5.261175,-14.835418,12.863438,24.711409,2011-06-16,2011,167
-40.731,-33.55984,-2.8674972,-2.295331,6.869356,13.971381,2011-06-17,2011,168
-40.461887,-10.717531,-5.8770876,5.8181868,6.5133266,12.551147,2011-06-18,2011,169
-44.787327,-3.9263194,-13.535141,6.1116014,-7.23934,12.24854,2011-06-19,2011,170
-67.81799,-12.359812,-16.34206,6.4293933,-13.694762,27.235851,2011-06-20,2011,171
-70.996445,0.32292473,-22.08439,15.560932,4.7057652,27.359762,2011-06-21,2011,172
-103.58736,13.201318,-23.078276,-1.853443,7.175255,20.447088,2011-06-22,2011,173
-89.50367,-9.325854,-7.688286,-22.531294,1.2108383,24.544058,2011-06-23,2011,174
-102.319756,-45.769184,-7.319814,-21.652122,0.36924732,15.371485,2011-06-24,2011,175
-105.72854,-75.92918,-5.7889805,-12.897396,1.199134,16.601578,2011-06-25,2011,176
-96.68382,-90.09745,-7.0929384,-0.5950111,1.063818,6.311745,2011-06-26,2011,177
-106.58558,-84.21885,-12.434752,20.487814,10.52104,-4.1492724,2011-06-27,2011,178
-101.65588,-55.878345,-13.015485,19.697575,0.7827628,-7.859886,2011-06-28,2011,179
-95.76291,-28.402231,-6.082212,6.925055,1.9458894,-17.539572,2011-06-29,2011,180
-59.06518,-14.048172,-2.239912,-2.318372,9.061553,-14.38551,2011-06-30,2011,181
-57.329445,-24.970848,-14.951687,-7.0607495,5.598344,-22.46164,2011-07-01,2011,182
-68.60377,-10.048377,-22.349237,-9.596131,-1.776265,-32.013393,2011-07-02,2011,183
-76.94023,0.73807895,-9.818187,-25.133274,-7.12484,-28.729366,2011-07-03,2011,184
-92.51788,-22.611835,-6.9389305,-55.14019,-9.219327,-7.1109986,2011-07-04,2011,185
-118.20432,-32.472706,-5.462008,-51.519924,-21.471899,-4.3635817,2011-07-05,2011,186
-113.22002,-30.894539,-10.520733,-35.708637,-27.740261,-11.410945,2011-07-06,2011,187
-78.11081,-48.289658,-12.904937,-19.551731,-17.654263,-17.888245,2011-07-07,2011,188
-24.172123,-81.935074,-11.810265,-5.2944865,10.115617,-10.186947,2011-07-08,2011,189
-20.785685,-98.26521,-24.25156,29.557718,27.481594,-18.418652,2011-07-09,2011,190
-37.87352,-58.59548,-27.137133,58.94904,13.666178,-17.944382,2011-07-10,2011,191
-52.35589,-25.587122,-20.449583,57.751583,-12.443342,-13.607412,2011-07-11,2011,192
-71.15334,-4.5111394,-7.8986187,53.06353,-44.105743,-3.6501975,2011-07-12,2011,193
-60.27662,10.973567,2.3745904,52.841927,-40.008705,15.873585,2011-07-13,2011,194
-45.804382,22.804682,2.0565317,53.019035,-17.958763,23.677546,2011-07-14,2011,195
-40.09269,32.632458,5.8702765,50.02978,-5.155679,23.072935,2011-07-15,2011,196
-54.95558,38.954407,-2.2861314,39.665813,7.339856,8.819362,2011-07-16,2011,197
-68.18436,45.147015,-0.45283806,36.890163,20.773388,1.1955748,2011-07-17,2011,198
-115.31662,47.236893,20.056131,17.343382,17.639664,-5.664859,2011-07-18,2011,199
-146.40053,25.560877,37.954952,-24.594254,13.588664,-4.9948926,2011-07-19,2011,200
-134.22183,12.452604,40.942566,-36.567997,17.529112,-1.1109352,2011-07-20,2011,201
-101.30157,6.69042,23.86304,-16.764141,11.758944,-5.4014926,2011-07-21,2011,202
-96.864265,-55.474228,13.296935,-17.201475,3.5822482,4.130149,2011-07-22,2011,203
-101.64724,-94.58515,1.9765328,21.853624,17.864845,-5.7924795,2011-07-23,2011,204
-112.413864,-98.19655,-4.7488036,37.800014,13.625415,-11.100277,2011-07-24,2011,205
-114.89386,-94.67961,1.436936,31.526808,11.134528,-16.088465,2011-07-25,2011,206
-98.34403,-91.36201,-5.170172,31.822365,0.6724582,-11.599887,2011-07-26,2011,207
-68.801636,-85.63712,-1.68445,38.778027,-14.131763,-18.405642,2011-07-27,2011,208
-69.08812,-62.1812,-2.7565413,48.00021,-15.655374,-33.27869,2011-07-28,2011,209
-63.26297,-29.057812,5.430159,54.143307,-29.891483,-16.292337,2011-07-29,2011,210
-59.13136,-17.234503,13.077997,41.366234,-42.77521,-10.555418,2011-07-30,2011,211
-44.637627,-7.336433,22.465809,37.353176,-40.44444,5.725525,2011-07-31,2011,212
-42.09359,-9.888872,26.022272,4.814235,-36.962,1.1389418,2011-08-01,2011,213
-57.19616,-13.909963,21.35577,-7.9556875,-23.12591,-0.45399702,2011-08-02,2011,214
-63.2445,-1.8481795,9.859337,6.1894665,-18.70939,3.5853004,2011-08-03,2011,215
-75.9728,9.934004,13.008603,5.2731752,-16.259184,13.075776,2011-08-04,2011,216
-75.36164,7.645922,18.185204,-1.3861457,-14.754738,14.241898,2011-08-05,2011,217
-44.687836,-9.267275,18.908806,-3.5390215,-9.735172,8.979648,2011-08-06,2011,218
-33.87892,-44.298244,8.169995,-8.784691,-0.7839657,3.7594938,2011-08-07,2011,219
-40.799946,-57.099495,-2.2946274,12.325427,-2.1324303,-6.226668,2011-08-08,2011,220
-35.140427,-34.89778,2.5039825,31.202164,-10.143864,-6.040581,2011-08-09,2011,221
-29.183752,-8.849516,8.882113,36.082787,-24.191437,0.47205704,2011-08-10,2011,222
-33.387085,10.807445,17.833025,36.467785,-37.50354,10.383289,2011-08-11,2011,223
-41.862827,26.471268,21.300737,35.72187,-40.499065,14.129797,2011-08-12,2011,224
-44.018566,33.458187,37.340084,27.170317,-36.083973,23.305115,2011-08-13,2011,225
-20.283297,35.04065,36.838085,27.668474,-16.02091,25.733849,2011-08-14,2011,226
-23.317488,36.28315,42.0404,22.363924,-9.400564,23.487305,2011-08-15,2011,227
-54.52021,27.959461,47.95451,-5.544238,-9.621243,16.363121,2011-08-16,2011,228
-53.879955,6.456409,41.789722,-16.448908,0.5007034,12.367673,2011-08-17,2011,229
