Date/Time,Year,Month,Day,Along_Strait_Wind
2011-09-02,2011,9,2,-55.78690309313775
2011-09-06,2011,9,6,30.909626441250186
2011-09-09,2011,9,9,-36.85920382939459
2011-09-10,2011,9,10,-41.53481053042994
2011-09-11,2011,9,11,-26.212865417247738
2011-09-12,2011,9,12,40.84398262176157
2011-09-13,2011,9,13,30.909626441250186
2011-09-15,2011,9,15,29.001849185172798
2011-09-17,2011,9,17,30.909626441250186
2011-09-18,2011,9,18,17.327348731368676
2011-09-19,2011,9,19,-45.82495611222029
2011-09-21,2011,9,21,30.308625638692696
2011-09-22,2011,9,22,39.6029588778518
2011-09-23,2011,9,23,31.72077254628275
2011-09-25,2011,9,25,-14.752685570843688
2011-09-26,2011,9,26,51.606578790206484
2011-09-27,2011,9,27,33.58523381584866
2011-09-28,2011,9,28,-30.909626441250186
2011-09-30,2011,9,30,-56.783097791229494
2012-06-01,2012,6,1,24.663786763094986
2012-06-03,2012,6,3,31.878230338935857
2012-06-04,2012,6,4,-38.85159322557808
2012-06-05,2012,6,5,-26.21286541724774
2012-06-06,2012,6,6,21.22232814498871
2012-06-07,2012,6,7,39.8775426296126
2012-06-09,2012,6,9,-8.541028488383189
2012-06-13,2012,6,13,-49.80973490458728
2012-06-14,2012,6,14,29.001849185172798
2012-06-16,2012,6,16,38.971234842575946
2012-06-17,2012,6,17,-30.3086256386927
2012-06-18,2012,6,18,-31.72077254628275
2012-06-22,2012,6,22,41.53481053042994
2012-06-23,2012,6,23,5.316500307607146
2012-06-25,2012,6,25,-34.8668144332111
2012-06-26,2012,6,26,27.03201746153673
2012-06-27,2012,6,27,29.001849185172798
2012-07-01,2012,7,1,31.875552267539256
2012-07-02,2012,7,2,31.878230338935857
2012-07-03,2012,7,3,-8.541028488383189
2012-07-09,2012,7,9,41.53481053042994
2012-07-10,2012,7,10,40.84398262176157
2012-07-13,2012,7,13,-47.81734550840379
2012-07-15,2012,7,15,-33.58523381584866
2012-07-17,2012,7,17,32.874425037027606
2012-07-18,2012,7,18,38.85159322557808
2012-07-20,2012,7,20,33.941125496954285
2012-07-22,2012,7,22,33.58523381584866
2012-07-23,2012,7,23,31.72077254628275
2012-07-26,2012,7,26,32.874425037027606
2012-07-27,2012,7,27,42.83637201794506
2012-07-28,2012,7,28,29.908156972209447
2012-07-30,2012,7,30,33.53338812035605
2012-08-01,2012,8,1,32.874425037027606
2012-08-03,2012,8,3,-36.85920382939459
2012-08-04,2012,8,4,-33.80740392011739
2012-08-05,2012,8,5,-34.8668144332111
2012-08-06,2012,8,6,30.909626441250186
2012-08-07,2012,8,7,45.82495611222029
2012-08-08,2012,8,8,40.84398262176157
2012-08-10,2012,8,10,-43.8325667160368
2012-08-12,2012,8,12,-39.6029588778518
2012-08-13,2012,8,13,-45.82495611222029
2012-08-15,2012,8,15,-42.500736356719
2012-08-16,2012,8,16,-30.909626441250186
2012-08-18,2012,8,18,31.875552267539256
2012-08-19,2012,8,19,42.83637201794506
2012-08-23,2012,8,23,-38.85159322557808
2012-08-24,2012,8,24,-44.432588009297135
2012-08-26,2012,8,26,29.001849185172798
2012-08-28,2012,8,28,8.282209443280664
2012-08-31,2012,8,31,-42.83637201794506
2012-09-03,2012,9,3,-36.85920382939459
2012-09-08,2012,9,8,38.85159322557808
2012-09-09,2012,9,9,36.04268994871564
2012-09-10,2012,9,10,-51.80212430077077
2012-09-11,2012,9,11,-45.82495611222029
2012-09-12,2012,9,12,-30.909626441250186
2012-09-14,2012,9,14,-30.909626441250186
2012-09-15,2012,9,15,-33.80740392011739
2012-09-16,2012,9,16,-33.53338812035605
2012-09-17,2012,9,17,-29.0018491851728
2012-09-21,2012,9,21,42.83637201794506
2012-09-29,2012,9,29,-43.8325667160368
2013-06-01,2013,6,1,-38.85159322557808
2013-06-02,2013,6,2,-58.775487187412985
2013-06-03,2013,6,3,-35.73925557269553
2013-06-06,2013,6,6,-38.85159322557808
2013-06-07,2013,6,7,42.83637201794506
2013-06-08,2013,6,8,35.73925557269553
2013-06-09,2013,6,9,-38.85159322557808
2013-06-11,2013,6,11,35.34600369442935
2013-06-14,2013,6,14,30.909626441250186
2013-06-16,2013,6,16,36.85920382939459
2013-06-17,2013,6,17,38.85159322557808
2013-06-18,2013,6,18,-7.9311725900368995
2013-06-19,2013,6,19,-32.874425037027606
2013-06-20,2013,6,20,-45.87251448018354
2013-06-24,2013,6,24,52.15999461960969
2013-06-25,2013,6,25,35.73925557269553
2013-06-26,2013,6,26,33.53338812035605
2013-07-01,2013,7,1,35.34600369442935
2013-07-05,2013,7,5,-40.84398262176157
2013-07-06,2013,7,6,-45.82495611222029
2013-07-07,2013,7,7,-42.500736356719
2013-07-08,2013,7,8,-45.82495611222029
2013-07-10,2013,7,10,34.8668144332111
2013-07-11,2013,7,11,32.874425037027606
2013-07-12,2013,7,12,-29.0018491851728
2013-07-14,2013,7,14,-47.81734550840379
2013-07-15,2013,7,15,-55.78690309313775
2013-07-16,2013,7,16,-39.6029588778518
2013-07-17,2013,7,17,53.244882878784466
2013-07-22,2013,7,22,-32.874425037027606
2013-07-26,2013,7,26,-58.775487187412985
2013-07-27,2013,7,27,-58.775487187412985
2013-07-28,2013,7,28,-39.6029588778518
2013-07-30,2013,7,30,33.80740392011739
2013-07-31,2013,7,31,37.15861926850265
2013-08-01,2013,8,1,41.53481053042994
2013-08-02,2013,8,2,47.81734550840379
2013-08-08,2013,8,8,34.8668144332111
2013-08-09,2013,8,9,29.908156972209447
2013-08-10,2013,8,10,38.971234842575946
2013-08-11,2013,8,11,42.83637201794506
2013-08-12,2013,8,12,30.909626441250186
2013-08-14,2013,8,14,31.72077254628275
2013-08-15,2013,8,15,32.874425037027606
2013-08-17,2013,8,17,34.8668144332111
2013-08-18,2013,8,18,27.03201746153673
2013-08-20,2013,8,20,-40.84398262176157
2013-08-23,2013,8,23,42.83637201794506
2013-08-24,2013,8,24,26.212865417247738
2013-08-26,2013,8,26,31.878230338935857
2013-08-27,2013,8,27,-54.09184627218782
2013-08-28,2013,8,28,-33.80740392011739
2013-08-29,2013,8,29,31.946929727270682
2013-09-04,2013,9,4,-36.85920382939459
2013-09-05,2013,9,5,-40.84398262176157
2013-09-10,2013,9,10,-33.80740392011739
2013-09-13,2013,9,13,32.874425037027606
2013-09-14,2013,9,14,36.85920382939459
2013-09-15,2013,9,15,24.663786763094986
2013-09-16,2013,9,16,38.85159322557808
2013-09-18,2013,9,18,-34.8668144332111
2013-09-20,2013,9,20,26.212865417247738
2013-09-22,2013,9,22,57.09739058330894
2013-09-23,2013,9,23,20.285676563553572
2013-09-24,2013,9,24,-33.80740392011739
2013-09-25,2013,9,25,-55.78690309313775
2013-09-27,2013,9,27,30.308625638692696
2013-09-28,2013,9,28,43.1335136523794
2013-09-29,2013,9,29,81.68796524352314
2013-09-30,2013,9,30,32.120280435658586
2014-06-02,2014,6,2,-38.85159322557808
2014-06-03,2014,6,3,-58.775487187412985
2014-06-04,2014,6,4,-45.82495611222029
2014-06-05,2014,6,5,-55.05777209847689
2014-06-06,2014,6,6,-40.84398262176157
2014-06-08,2014,6,8,-36.85920382939459
2014-06-09,2014,6,9,-62.760265979779966
2014-06-13,2014,6,13,34.8668144332111
2014-06-14,2014,6,14,29.001849185172798
2014-06-16,2014,6,16,31.72077254628275
2014-06-17,2014,6,17,31.875552267539256
2014-06-18,2014,6,18,34.8668144332111
2014-06-20,2014,6,20,-23.516633890392892
2014-06-27,2014,6,27,28.99137802864845
2014-06-28,2014,6,28,37.15861926850265
2014-07-02,2014,7,2,39.8775426296126
2014-07-03,2014,7,3,31.72077254628275
2014-07-07,2014,7,7,-34.8668144332111
2014-07-08,2014,7,8,-45.82495611222029
2014-07-09,2014,7,9,-55.78690309313775
2014-07-10,2014,7,10,-36.04268994871565
2014-07-11,2014,7,11,-30.909626441250186
2014-07-13,2014,7,13,-37.67110722527366
2014-07-14,2014,7,14,35.73925557269553
2014-07-16,2014,7,16,-39.6029588778518
2014-07-17,2014,7,17,-53.79451369695426
2014-07-18,2014,7,18,-36.85920382939459
2014-07-19,2014,7,19,38.18376618407357
2014-07-20,2014,7,20,-34.8668144332111
2014-07-22,2014,7,22,33.80740392011739
2014-07-23,2014,7,23,3.3990739671586674
2014-07-24,2014,7,24,23.33452377915607
2014-07-31,2014,7,31,-32.874425037027606
2014-08-01,2014,8,1,-38.85159322557808
2014-08-03,2014,8,3,-39.6029588778518
2014-08-04,2014,8,4,-42.500736356719
2014-08-05,2014,8,5,30.909626441250186
2014-08-07,2014,8,7,-36.85920382939459
2014-08-08,2014,8,8,-34.8668144332111
2014-08-10,2014,8,10,-36.85920382939459
2014-08-11,2014,8,11,-32.874425037027606
2014-08-12,2014,8,12,-36.85920382939459
2014-08-13,2014,8,13,40.84398262176157
2014-08-14,2014,8,14,31.875552267539256
2014-08-18,2014,8,18,-36.85920382939459
2014-08-19,2014,8,19,-43.8325667160368
2014-08-20,2014,8,20,-42.83637201794506
2014-08-28,2014,8,28,32.874425037027606
2014-08-29,2014,8,29,35.73925557269553
2014-09-02,2014,9,2,-46.364439661875274
2014-09-03,2014,9,3,-47.81734550840379
2014-09-05,2014,9,5,-37.671107225273666
2014-09-08,2014,9,8,-37.67110722527366
2014-09-12,2014,9,12,-29.90815697220945
2014-09-16,2014,9,16,29.001849185172798
2014-09-17,2014,9,17,29.001849185172798
2014-09-22,2014,9,22,36.85920382939459
2014-09-23,2014,9,23,40.95760221444959
2014-09-24,2014,9,24,46.36443966187528
2014-09-26,2014,9,26,37.15861926850265
2014-09-27,2014,9,27,-31.878230338935857
2014-09-29,2014,9,29,27.577164466275356
2014-09-30,2014,9,30,-36.04268994871565
2015-06-01,2015,6,1,39.6029588778518
2015-06-02,2015,6,2,34.8668144332111
2015-06-06,2015,6,6,-30.909626441250182
2015-06-07,2015,6,7,-53.79451369695426
2015-06-08,2015,6,8,-53.79451369695426
2015-06-09,2015,6,9,-68.73743416833044
2015-06-10,2015,6,10,-55.78690309313775
2015-06-11,2015,6,11,-58.775487187412985
2015-06-12,2015,6,12,-69.5466594928129
2015-06-13,2015,6,13,-48.29629131445341
2015-06-14,2015,6,14,-29.90815697220945
2015-06-16,2015,6,16,38.85159322557808
2015-06-19,2015,6,19,26.212865417247738
2015-06-20,2015,6,20,-43.8325667160368
2015-06-21,2015,6,21,-38.85159322557808
2015-06-22,2015,6,22,33.80740392011739
2015-06-23,2015,6,23,33.80740392011739
2015-06-26,2015,6,26,-37.671107225273666
2015-06-27,2015,6,27,-55.78690309313775
2015-06-28,2015,6,28,19.440440040072176
2015-06-29,2015,6,29,-3.2247624816633547
2015-06-30,2015,6,30,-49.80973490458728
2015-07-01,2015,7,1,-58.775487187412985
2015-07-02,2015,7,2,-51.80212430077077
2015-07-03,2015,7,3,-55.78690309313775
2015-07-04,2015,7,4,-47.81734550840379
2015-07-05,2015,7,5,-42.83637201794506
2015-07-06,2015,7,6,32.874425037027606
2015-07-07,2015,7,7,31.878230338935857
2015-07-09,2015,7,9,31.878230338935857
2015-07-10,2015,7,10,49.80973490458728
2015-07-11,2015,7,11,36.85920382939459
2015-07-14,2015,7,14,-42.83637201794506
2015-07-15,2015,7,15,-41.53481053042993
2015-07-16,2015,7,16,-60.8533270562113
2015-07-17,2015,7,17,-49.80973490458728
2015-07-18,2015,7,18,-49.80973490458728
2015-07-19,2015,7,19,-33.80740392011739
2015-07-20,2015,7,20,48.9406204999791
2015-07-21,2015,7,21,-40.84398262176157
2015-07-22,2015,7,22,31.875552267539256
2015-07-24,2015,7,24,31.875552267539256
2015-07-31,2015,7,31,-30.909626441250186
2015-08-01,2015,8,1,-44.43258800929714
2015-08-02,2015,8,2,-45.82495611222029
2015-08-03,2015,8,3,-40.84398262176157
2015-08-04,2015,8,4,-49.80973490458728
2015-08-08,2015,8,8,36.85920382939459
2015-08-11,2015,8,11,-49.80973490458728
2015-08-12,2015,8,12,-45.82495611222029
2015-08-14,2015,8,14,45.82495611222029
2015-08-16,2015,8,16,-29.908156972209447
2015-08-17,2015,8,17,-36.85920382939459
2015-08-18,2015,8,18,-42.83637201794506
2015-08-19,2015,8,19,-53.79451369695426
2015-08-20,2015,8,20,-44.432588009297135
2015-08-21,2015,8,21,-55.05777209847689
2015-08-24,2015,8,24,-34.8668144332111
2015-08-28,2015,8,28,30.308625638692696
2015-08-29,2015,8,29,84.28662419440845
2015-08-30,2015,8,30,38.971234842575946
2015-08-31,2015,8,31,36.13531549011591
2015-09-01,2015,9,1,29.8259746902544
2015-09-02,2015,9,2,21.130913087034973
2015-09-04,2015,9,4,-42.83637201794506
2015-09-05,2015,9,5,-33.53338812035605
2015-09-08,2015,9,8,33.80740392011739
2015-09-10,2015,9,10,-36.85920382939459
2015-09-11,2015,9,11,-36.85920382939459
2015-09-12,2015,9,12,-49.80973490458728
2015-09-13,2015,9,13,-60.8533270562113
2015-09-14,2015,9,14,-45.82495611222029
2015-09-15,2015,9,15,29.908156972209447
2015-09-19,2015,9,19,32.526911934581186
2015-09-20,2015,9,20,-66.74504477214695
2015-09-21,2015,9,21,-55.05777209847689
2015-09-23,2015,9,23,31.875552267539256
2015-09-24,2015,9,24,29.908156972209447
2015-09-26,2015,9,26,-38.85159322557808
2015-09-27,2015,9,27,-31.875552267539256
2015-09-28,2015,9,28,-35.73925557269553
2016-06-01,2016,6,1,36.85920382939459
2016-06-02,2016,6,2,9.058666578588227
2016-06-04,2016,6,4,-42.83637201794506
2016-06-05,2016,6,5,-37.671107225273666
2016-06-06,2016,6,6,-36.85920382939459
2016-06-07,2016,6,7,-31.878230338935857
2016-06-08,2016,6,8,43.8325667160368
2016-06-09,2016,6,9,29.908156972209447
2016-06-10,2016,6,10,10.09394275899831
2016-06-13,2016,6,13,-10.093942758998313
2016-06-14,2016,6,14,30.405591591021544
2016-06-15,2016,6,15,32.874425037027606
2016-06-17,2016,6,17,-31.878230338935857
2016-06-18,2016,6,18,30.308625638692696
2016-06-19,2016,6,19,-31.878230338935857
2016-06-21,2016,6,21,39.8775426296126
2016-06-23,2016,6,23,33.53338812035605
2016-06-26,2016,6,26,-30.909626441250186
2016-06-29,2016,6,29,39.6029588778518
2016-06-30,2016,6,30,42.83637201794506
2016-07-01,2016,7,1,42.83637201794506
2016-07-02,2016,7,2,35.73925557269553
2016-07-03,2016,7,3,-53.79451369695426
2016-07-04,2016,7,4,-44.432588009297135
2016-07-05,2016,7,5,-36.85920382939459
2016-07-07,2016,7,7,39.6029588778518
2016-07-08,2016,7,8,31.72077254628275
2016-07-09,2016,7,9,-22.3694810176908
2016-07-11,2016,7,11,33.80740392011739
2016-07-12,2016,7,12,-3.0504509961680384
2016-07-14,2016,7,14,-53.79451369695426
2016-07-15,2016,7,15,-29.001849185172798
2016-07-18,2016,7,18,39.6029588778518
2016-07-19,2016,7,19,27.03201746153673
2016-07-22,2016,7,22,31.72077254628275
2016-07-27,2016,7,27,-41.53481053042993
2016-07-28,2016,7,28,-45.82495611222029
2016-07-29,2016,7,29,-56.98962375105502
2016-07-30,2016,7,30,-69.7336288664222
2016-07-31,2016,7,31,-49.80973490458728
2016-08-02,2016,8,2,31.946929727270682
2016-08-05,2016,8,5,-51.80212430077077
2016-08-06,2016,8,6,29.908156972209447
2016-08-11,2016,8,11,-43.8325667160368
2016-08-12,2016,8,12,-29.90815697220945
2016-08-13,2016,8,13,-37.671107225273666
2016-08-14,2016,8,14,-49.80973490458728
2016-08-16,2016,8,16,-37.68099403729363
2016-08-17,2016,8,17,-51.80212430077077
2016-08-18,2016,8,18,-47.81734550840379
2016-08-19,2016,8,19,-41.53481053042994
2016-08-20,2016,8,20,-43.8325667160368
2016-08-21,2016,8,21,-39.8775426296126
2016-08-22,2016,8,22,-39.31929812587161
2016-08-23,2016,8,23,-34.8668144332111
2016-08-24,2016,8,24,-38.85159322557808
2016-08-25,2016,8,25,-34.8668144332111
2016-08-27,2016,8,27,-39.8775426296126
2016-08-28,2016,8,28,31.946929727270682
2016-08-30,2016,8,30,34.8668144332111
2016-08-31,2016,8,31,36.85920382939459
2016-09-01,2016,9,1,30.308625638692696
2016-09-02,2016,9,2,27.03201746153673
2016-09-05,2016,9,5,31.875552267539256
2016-09-07,2016,9,7,3.050450996168035
2016-09-08,2016,9,8,-27.577164466275352
2016-09-10,2016,9,10,-54.09184627218782
2016-09-11,2016,9,11,-60.72262173145555
2016-09-12,2016,9,12,-40.84398262176157
2016-09-17,2016,9,17,-4.009164166392279
2016-09-18,2016,9,18,31.946929727270682
2016-09-19,2016,9,19,28.670321550114714
2016-09-20,2016,9,20,-41.53481053042993
2016-09-21,2016,9,21,-41.53481053042993
2016-09-22,2016,9,22,27.03201746153673
2016-09-23,2016,9,23,25.23736319944603
2016-09-24,2016,9,24,-35.34600369442935
2016-09-26,2016,9,26,-31.878230338935857
2016-09-27,2016,9,27,-60.72262173145555
2016-09-28,2016,9,28,-51.80212430077077
2017-06-02,2017,6,2,28.670321550114714
2017-06-08,2017,6,8,-4.009164166392279
2017-06-11,2017,6,11,-31.878230338935857
2017-06-12,2017,6,12,-43.502773777759195
2017-06-13,2017,6,13,27.03201746153673
2017-06-14,2017,6,14,27.03201746153673
2017-06-15,2017,6,15,43.502773777759195
2017-06-16,2017,6,16,-11.388037984510918
2017-06-19,2017,6,19,-30.909626441250182
2017-06-20,2017,6,20,-43.502773777759195
2017-06-21,2017,6,21,-44.234210391605565
2017-06-22,2017,6,22,-45.31538935183249
2017-06-23,2017,6,23,-36.85920382939459
2017-06-26,2017,6,26,-31.878230338935857
2017-06-27,2017,6,27,-35.22353790442665
2017-06-28,2017,6,28,-37.67110722527366
2017-07-01,2017,7,1,33.53338812035605
2017-07-03,2017,7,3,-32.526911934581186
2017-07-07,2017,7,7,43.8325667160368
2017-07-09,2017,7,9,-37.15861926850265
2017-07-10,2017,7,10,-58.92147540363316
2017-07-12,2017,7,12,35.34600369442935
2017-07-13,2017,7,13,30.909626441250186
2017-07-15,2017,7,15,10.61158084920335
2017-07-16,2017,7,16,-18.354445963233477
2017-07-17,2017,7,17,-44.432588009297135
2017-07-19,2017,7,19,33.53338812035605
2017-07-20,2017,7,20,35.73925557269553
2017-07-22,2017,7,22,36.85920382939459
2017-07-23,2017,7,23,-48.29629131445341
2017-07-24,2017,7,24,-54.09184627218782
2017-07-25,2017,7,25,-42.83637201794506
2017-07-26,2017,7,26,31.878230338935857
2017-07-27,2017,7,27,33.53338812035605
2017-07-29,2017,7,29,34.8668144332111
2017-07-31,2017,7,31,-38.85159322557808
2017-08-01,2017,8,1,-51.80212430077077
2017-08-02,2017,8,2,-44.432588009297135
2017-08-03,2017,8,3,-49.80973490458728
2017-08-04,2017,8,4,-31.878230338935857
2017-08-08,2017,8,8,-36.85920382939459
2017-08-11,2017,8,11,32.874425037027606
2017-08-12,2017,8,12,51.80212430077077
2017-08-13,2017,8,13,30.308625638692696
2017-08-14,2017,8,14,-33.53338812035605
2017-08-16,2017,8,16,31.875552267539256
2017-08-18,2017,8,18,-39.8775426296126
2017-08-19,2017,8,19,-50.753236074052396
2017-08-20,2017,8,20,29.908156972209447
2017-08-23,2017,8,23,30.909626441250186
2017-08-24,2017,8,24,-41.6901582036859
2017-08-27,2017,8,27,-40.84398262176157
2017-08-28,2017,8,28,-42.83637201794506
2017-08-29,2017,8,29,31.72077254628275
2017-08-30,2017,8,30,42.83637201794506
2017-08-31,2017,8,31,-30.909626441250182
2017-09-03,2017,9,3,-29.001849185172798
2017-09-04,2017,9,4,-36.85920382939459
2017-09-05,2017,9,5,30.308625638692696
2017-09-07,2017,9,7,-46.364439661875274
2017-09-08,2017,9,8,-31.946929727270685
2017-09-09,2017,9,9,33.58523381584866
2017-09-12,2017,9,12,-48.9406204999791
2017-09-13,2017,9,13,-53.47215943516235
2017-09-14,2017,9,14,-42.83637201794506
2017-09-17,2017,9,17,40.95760221444959
2017-09-18,2017,9,18,36.85920382939459
2017-09-19,2017,9,19,33.58523381584866
2017-09-20,2017,9,20,-39.6029588778518
2017-09-29,2017,9,29,-3.747696938149304
2018-06-21,2018,6,21,51.80212430077077
2018-06-22,2018,6,22,38.85159322557808
2018-06-23,2018,6,23,-31.878230338935857
2018-06-24,2018,6,24,-53.12592044589875
2018-06-25,2018,6,25,-27.577164466275352
